Artist,Song,Spins
From Ashes To New,Breaking Now,3
From Ashes To New,Through It All,3
Ghost,Hunter's Moon,3
Godsmack,Something Different,3
Halestorm,Amen,3
Halestorm,Apocalyptic,3
Halestorm,Love Bites (So Do I),3
Highly Suspect,Ice Cold,3
Highly Suspect,Lydia,3
I Prevail,Bad Things,3
I Prevail,Crossroads,3
I Prevail,Deep End,3
In This Moment,Blood,3
Jutes,Sleepyhead,3
Kingdom Collapse,Anything,3
Kingdom Collapse,Uprise,3
Korn,Start The Healing,3
Korn,Twisted Transistor,3
Korn,Way Too Far,3
Lacuna Coil,I Wish You Were Dead,3
Left On Red,PYROSCENIAC,3
Linkin Park,The Emptiness Machine,3
Linkin Park,Up From the Bottom,3
Mammoth WVH,Distance,3
Mammoth WVH,Don't Back Down,3
Memphis May Fire,Somebody,3
MESSER,Find Out,3
Metallica,Hardwired,3
Metallica,Spit Out The Bone,3
Motionless In White,Werewolf,3
Muse,Compliance,3
Muse,Will Of The People,3
Mushroomhead,Just Pretending,3
Mushroomhead,Out Of My Mind,3
Nate Vickers,A Little Too Late,3
Nathan James,Alienation,3
Nickelback,Edge Of A Revolution,3
Nickelback,Those Days,3
Nita Strauss,Dead Inside,3
Nonpoint,Breaking Skin,3
Nonpoint,Bullet With A Name,3
Nonpoint,Miracle,3
Nonpoint,Ruthless,3
NOTHING MORE,Do You Really Want It,3
NOTHING MORE,Here's To The Heartache,3
NOTHING MORE,Just Say When,3
NVSN,Black Hole,3
Of Mice & Men,Anchor,3
Of Mice & Men,Feels Like Forever,3
Of Mice & Men,Fighting Gravity,3
Of Virtue,Cold Blooded,3
Papa Roach,Born For Greatness,3
Papa Roach,Swerve,3
Papa Roach,The Ending,3
Plush,Hate,3
POET The Band,sineater,3
Point North,World {vs} Peace,3
Pop Evil,Breathe Again,3
Pop Evil,Footsteps,3
Pop Evil,Paranoid (Crash & Burn),3
Pop Evil,What Remains,3
Pop Evil,Work,3
Poppy,New Way Out,3
Rise Against,Nowhere Generation,3
Rise Against,Ready To Fall,3
Rise Against,The Violence,3
Saliva,Crows,3
Saliva,In It To Win It,3
Saliva & Peyton Parrish & Judge & Jury,Time Bomb,3
Saul,Looking To Fight,3
Scott Stapp,Black Butterfly,3
Seether,Save Today,3
Seether,Words As Weapons,3
September Mourning,Spit You Out,3
Set the Sun,Falling Apart,3
SevVven,Cannibals,3
SevVven,Don't Panic,3
Shallow Side,The Worst Kind,3
Shinedown,Get Up,3
Shinedown,Planet Zero,3
Sleeping With Sirens,Complete Collapse,3
Slipknot,Psychosocial,3
Slipknot,Vermilion,3
Spiritbox,Blessed Be,3
Spiritbox,Soft Spine,3
STARSET,TokSik,3
Starset,Waiting On The Sky To Change,3
Stella Vir,Anything At All,3
Taproot,Calling,3
Taproot,Fractured (Everything I Said Was True),3
Taproot,Mine,3
The Almas,Life Jacket,3
The Almas,Lifeline,3
The Dark,Circles,3
The Dark,Slip Away,3
